Nome;Séries;Reps;Carga;Intervalo
A — Grupo muscular
Exercício 1;3;10;0;60
Exercício 2;3;10;0;60
Exercício 3;3;10;0;60
Exercício 4;3;10;0;60
Exercício 5;3;10;0;60
Exercício 6;3;10;0;60
B — Grupo muscular
Exercício 1;3;10;0;60
Exercício 2;3;10;0;60
Exercício 3;3;10;0;60
Exercício 4;3;10;0;60
Exercício 5;3;10;0;60
Exercício 6;3;10;0;60
C — Grupo muscular
Exercício 1;3;10;0;60
Exercício 2;3;10;0;60
Exercício 3;3;10;0;60
Exercício 4;3;10;0;60
Exercício 5;3;10;0;60
Exercício 6;3;10;0;60
D — Grupo muscular
Exercício 1;3;10;0;60
Exercício 2;3;10;0;60
Exercício 3;3;10;0;60
Exercício 4;3;10;0;60
Exercício 5;3;10;0;60
Exercício 6;3;10;0;60
