Nome;Séries;Reps;Carga;Intervalo
A — Peito/Tríceps
Supino reto com barra;4;8-10;0;120
Supino inclinado com halteres;4;10-12;0;90
Crucifixo na máquina (voador);3;12-15;0;60
Tríceps testa com barra W;3;10-12;0;60
Tríceps corda na polia;3;12-15;0;60
B — Costas/Bíceps
Puxada frente na barra;4;8-10;0;120
Remada curvada com barra;4;8-10;0;120
Remada baixa com triângulo;3;10-12;0;90
Rosca direta com barra W;3;10-12;0;60
Rosca martelo com halteres;3;12-15;0;60
C — Pernas/Panturrilha
Agachamento livre;4;8-10;0;150
Leg press 45°;4;10-12;0;120
Cadeira extensora;3;12-15;0;60
Mesa flexora;4;10-12;0;90
Panturrilha em pé;4;15-20;0;45
D — Ombros/Abdômen
Desenvolvimento com halteres;4;8-10;0;90
Elevação lateral;4;12-15;0;60
Crucifixo inverso (voador inv.);3;12-15;0;60
Encolhimento com halteres;3;12-15;0;60
Abdominal infra na paralela;3;15-20;0;45
